	kurtosis	SD	tSNR	MSSD	Lag1	sample_entropy
0	3.0695935908036516	3.886334500433789	730.0816704705468	11.660733863429135	0.6104248939894	1.0198314108149953
1	5.768771035306278	11.294063238289361	367.7688043300333	50.549252725462715	0.7961681697388209	0.7975963498937461
2	72.89907980968171	22.608837731994612	169.2562490480697	69.24701349297531	0.9455593474695244	0.19645031211631736
3	3.8133810360583342	5.967493915769332	388.31913353329685	31.27407418582662	0.5530755358240668	1.1011287580591553
4	3.1015284175837565	8.500029965794393	296.41167632922577	62.080270753756764	0.56772184046662	1.0269346088594407
5	3.2513442981040757	8.714602211240624	285.30198985410385	51.335971639932346	0.6597486764022609	1.036714080192949
6	2.6944248498156242	8.269033564757255	189.261363991786	69.7305470565024	0.48797273945740355	1.1511014006618028
7	10.396841383534563	5.8752097588358465	368.43016123959904	24.530634916654655	0.6232224549824188	1.059772455351846
8	2.692579241154611	8.722272980406931	317.60066126939245	64.0706715266804	0.5747841539246743	1.0920232732667599
9	3.828642624671463	18.402003891731418	149.1366682868605	202.76202908800505	0.6952703849069889	0.9347487377788644
10	3.4116824787249156	18.89502237732088	124.78354270239892	414.90164141128326	0.41301677630337275	1.121244790181394
11	2.995601473316963	4.857436215999631	611.3427655399295	22.447003992298747	0.5185856731299601	1.0123818245641814
12	4.780629695449639	12.160324489934641	349.8658287759778	85.2580866703068	0.703834638383385	0.9080492599446797
13	61.12992465361982	23.054363178019116	164.0960134916199	73.06527503792186	0.9395288811200946	0.23873310434806297
14	3.901883841005372	7.147325098555631	329.1462710616835	37.11082003397842	0.6284510336363848	0.9602418767368905
15	3.0450832223165585	10.133139859085334	262.3987706379672	65.23948392114193	0.6798097589758278	1.0335201003792622
16	3.5652134975575875	8.45223893627642	310.39617747427314	51.76635584654614	0.6354694651789794	1.0433683539598464
17	3.0848309280363457	7.653997894075929	212.8840778828277	80.18204682218496	0.3146396484003612	1.2122373141758294
18	3.0111319807278143	8.340299845844077	349.6612456601946	56.14964206570764	0.5939161486975122	1.0919049464489803
19	4.60747965174356	14.748483162866995	196.39273232678585	195.91594328489305	0.5360935516909319	1.119553129621325
20	3.3152649869717705	21.071161791504224	126.685915628384	503.3641721870461	0.43137976578939174	1.1782496292762226
